the_geom,cartodb_id,the_geom_webmercator,latitude,longitude,borough,job_type,permit_type,job_number,bin_number,job_type2,cost_estimate,enlargement_flag_yes_no,square_footage,permit_issuance_date,permit_expiration_date,job_location_house_number,job_location_street_name,community_board,applicant_business_name,proposed_occupancy_class,proposed_stories,proposed_dwelling_units
0101000020E610000000000040E67A52C0000000E07D5F4440,4594,0101000020110F0000A683C4A1E8635FC1F41765365AFA5241,40.7460289001465,-73.9203033447266,Queens,NB,New Building,421738524,4001768,NB,2960000,false,20000,11/30/2020,4/13/2021 12:00,41-26,44 STREET,402,PINNACLE CONSTRUCTION NY,RESIDENTIAL: APARTMENT HOUSES,8,27
0101000020E610000000000040167F52C0000000A07E5F4440,4595,0101000020110F000007A52288056B5FC17EBEA10D5BFA5241,40.7460517883301,-73.9857330322266,Manhattan,A1,ALT 1 Enlargement,123842538,1016951,A1,10416887,true,13416,9/24/2020,9/24/2021 12:00,295,FIFTH AVENUE,105,JRM CONSTRUCTION MGMT LLC,BUSINESS,18,
0101000020E6100000000000A0656D52C0000000807F5F4440,4596,0101000020110F0000A5A6DD34F94C5FC141DCBD085CFA5241,40.7460784912109,-73.7093276977539,Queens,A1,ALT 1 Enlargement,421734181,4177647,A1,149000,true,837,7/7/2020,12/27/2020 12:00,79-35,262 STREET,413,SHARAN CONSTRUCTION INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
0101000020E6100000000000209A7052C0000000E07F5F4440,4597,0101000020110F0000C9D887E86A525FC12A345C745CFA5241,40.7460899353027,-73.759407043457,Queens,A1,ALT 1 Enlargement,421948879,4162408,A1,90000,true,604,10/8/2020,2/26/2021 12:00,217-06,64 AVENUE,411,HENRYSMITH PROPERTY MGMT,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,2
0101000020E6100000000000602E7A52C0000000E0805F4440,4598,0101000020110F000006253D4DB0625FC139CF57935DFA5241,40.7461204528809,-73.9090805053711,Queens,A1,ALT 1 Enlargement,402892205,4594818,A1,45000000,true,87699,6/23/2020,4/1/2021 12:00,54-05,SKILLMAN AVENUE,402,CITNALTA CONSTRUCTION,EDUCATIONAL,5,
0101000020E610000000000040067952C0000000E0805F4440,4599,0101000020110F0000F8EEB84DB9605FC139CF57935DFA5241,40.7461204528809,-73.8910064697266,Queens,NB,New Building,420975243,4036712,NB,2030560,false,13720,2/18/2020,2/7/2021 12:00,40-23,74 STREET,404,COCI CONSTRUCTION INC,RESIDENTIAL: APARTMENT HOUSES,4,8
0101000020E6100000000000C0377C52C000000080825F4440,4600,0101000020110F00002FA8DCE825665FC19DBDB0655FFA5241,40.7461700439453,-73.9409027099609,Queens,NB,New Building,421094096,4595591,NB,6450728,false,43586,8/29/2020,3/23/2021 12:00,28-27,THOMSON AVENUE,402,DASR CORP,RESIDENTIAL: APARTMENT HOUSES,11,49
0101000020E610000000000080758052C000000080855F4440,4601,0101000020110F000029C94D2A5A6D5FC1A7ECA3C262FA5241,40.7462615966797,-74.0071716308594,Manhattan,NB,New Building,121190601,1012291,NB,5570868,false,37641,12/5/2020,12/30/2020 12:00,532,WEST 20TH STREET,104,DDG DEVELOPMENT LLC,RESIDENTIAL: APARTMENT HOUSES,11,9
0101000020E6100000000000E0AA7452C000000080855F4440,4602,0101000020110F0000D2E317BA52595FC1A7ECA3C262FA5241,40.7462615966797,-73.8229293823242,Queens,A1,ALT 1 Enlargement,421946407,4116704,A1,281360,true,968,12/3/2020,9/24/2021 12:00,142-12,56 ROAD,407,TT&T CONSTRUCTION INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,2
0101000020E610000000000080D97752C0000000C0855F4440,4603,0101000020110F0000D2131073BA5E5FC1BCDE620A63FA5241,40.7462692260742,-73.8726501464844,Queens,NB,New Building,402456908,4541628,NB,703000,false,4750,2/19/2020,2/18/2021 12:00,93-17,LAMONT AVENUE,404,CTI CONSTRUCTION INC,THREE FAMILY DWELLING,4,3
0101000020E6100000000000A0D87752C000000060875F4440,4604,0101000020110F0000E18593F6B85E5FC17C11BCDC64FA5241,40.7463188171387,-73.8725967407227,Queens,NB,New Building,402456891,4538693,NB,703000,false,4750,2/19/2020,2/18/2021 12:00,93-19,LAMONT AVENUE,404,CTI CONSTRUCTION INC,THREE FAMILY DWELLING,4,3
0101000020E6100000000000A0DA7752C000000020885F4440,4605,0101000020110F00002981425CBC5E5FC184F5F8B365FA5241,40.7463417053223,-73.8727188110352,Queens,NB,New Building,402456864,4538692,NB,703000,false,4750,2/19/2020,2/18/2021 12:00,41-58,CASE STREET,404,CTI CONSTRUCTION INC,THREE FAMILY DWELLING,4,4
0101000020E610000000000020916D52C000000060885F4440,4606,0101000020110F00001F807B18434D5FC144EDB7FB65FA5241,40.7463493347168,-73.7119827270508,Queens,NB,New Building,421309765,4177577,NB,1719908,false,11621,11/9/2020,1/17/2021 12:00,259-16,79 AVE,413,THIND BUILDERS NY INC,ASSEMBLY: OTHER,1,
